city,lat,lng,country,iso2,continent,adjectives
Montagnana,45.2333,11.4658,Italy,IT,Europe,"{'medieval': 5, 'nearby': 5, 'ancient': 3, 'military': 3, 'fortified': 3, 'wooden': 3, 'venetian': 2, 'walled': 2, 'long': 2, 'current': 2, 'external': 2, 'defensive': 2, '16th': 2, '19th': 2, 'northern': 1, 'beautiful': 1, 'late': 1, 'eleventh': 1, 'distinguished': 1, 'older': 1, '14th': 1, 'essential': 1, 'paduan': 1, 'urban': 1, 'new': 1, 'euganean': 1, 'irregular': 1, 'picturesque': 1, 'green': 1, 'elevated': 1, 'impassable': 1, 'floodable': 1, 'advanced': 1, 'impregnable': 1, 'veronese': 1, 'third': 1, 'fourth': 1, 'scenic': 1, 'complex': 1, 'similar': 1, 'few': 1, '13th': 1, 'rectangular': 1, 'internal': 1, 'early': 1, 'privileged': 1, 'inner': 1, 'south': 1, 'latter': 1, 'lower': 1}"
Namegata,35.9905,140.489,Japan,JP,Asia,"{'central': 2, 'annual': 2, 'square': 1, 'south': 1, 'prefectural': 1, 'continental': 1, 'warm': 1, 'cool': 1, 'light': 1, 'wettest': 1, 'highest': 1, 'lowest': 1, 'past': 1, 'feudal': 1, 'modern': 1, 'unicameral': 1, 'lower': 1, 'predominant': 1, 'elementary': 1, 'middle': 1, 'commercial': 1, 'local': 1, 'external': 1, 'official': 1}"
Fresno,29.5357,-95.4696,United States,US,North America,"{'square': 8, 'new': 8, 'hispanic': 7, 'non': 7, 'populous': 6, 'original': 6, 'early': 6, 'urban': 6, 'present': 5, 'oldest': 5, 'numerous': 5, 'historic': 5, 'annual': 5, 'small': 5, 'commercial': 5, 'much': 4, 'local': 4, 'current': 4, 'wide': 4, 'long': 4, 'official': 4, 'older': 4, 'ethnic': 3, 'few': 3, 'financial': 3, 'old': 3, 'electric': 3, 'only': 3, 'former': 3, 'residential': 3, 'late': 3, 'regional': 3, 'corporate': 3, 'popular': 3, 'greater': 2, 'abundant': 2, 'agricultural': 2, 'extreme': 2, 'wooden': 2, 'entire': 2, 'statewide': 2, 'modern': 2, 'geographical': 2, 'southern': 2, 'multi': 2, 'western': 2, 'unincorporated': 2, 'upscale': 2, 'dry': 2, 'coldest': 2}"
Petrozavodsk,61.7833,34.3333,Russia,RU,Europe,"{'administrative': 10, 'official': 6, 'new': 4, 'municipal': 4, 'modern': 3, 'notable': 3, 'mild': 3, 'effective': 3, 'western': 2, 'ancient': 2, 'flemish': 2, 'present': 2, 'wooden': 2, 'local': 2, 'single': 2, 'outdoor': 2, 'trolleybus': 2, 'cool': 2, 'warm': 2, 'городского': 2, 'long': 1, 'unpopular': 1, 'soviet': 1, 'older': 1, 'archeological': 1, 'urban': 1, 'sixteenth': 1, 'petrine': 1, 'covered': 1, 'miniature': 1, 'original': 1, 'depopulated': 1, 'foreign': 1, 'ongoing': 1, 'russo': 1, 'industrial': 1, 'separate': 1, 'traditional': 1, 'literal': 1, '16th': 1, 'equal': 1, 'representative': 1, 'mixed': 1, 'current': 1, 'neoclassical': 1, 'architectural': 1, '18th': 1, 'fine': 1, 'karelian': 1, 'extravagant': 1}"
Inverell,-29.7667,151.1167,Australia,AU,Oceania,"{'former': 6, 'local': 4, 'last': 3, 'notable': 3, 'indigenous': 3, 'western': 2, 'annual': 2, 'commercial': 2, 'rich': 2, 'alluvial': 2, 'active': 2, 'common': 2, 'agricultural': 2, 'significant': 2, 'primary': 2, 'highest': 2, '°': 2, 'lowest': 2, 'operational': 2, 'northern': 1, 'temperate': 1, 'southern': 1, 'initial': 1, 'aboriginal': 1, 'following': 1, 'open': 1, 'rare': 1, 'colonial': 1, 'white': 1, 'long': 1, 'non': 1, 'memorial': 1, 'economic': 1, 'little': 1, 'worldwide': 1, 'small': 1, 'catholic': 1, 'fertile': 1, 'wide': 1, 'industrial': 1, 'smaller': 1, 'anabaptist': 1, 'multiple': 1, 'interurban': 1, 'popular': 1, 'numerous': 1, 'subtropical': 1, 'marked': 1, 'boundary': 1, 'cool': 1}"
Turpan,42.9512,89.1895,China,CN,Asia,"{'sogdian': 9, 'buddhist': 8, 'local': 7, '°': 5, 'ancient': 4, 'early': 4, 'manichaean': 4, 'modern': 3, '8th': 3, 'different': 3, 'small': 3, 'annual': 3, 'historical': 2, 'original': 2, '2nd': 2, 'important': 2, 'short': 2, 'various': 2, 'central': 2, 'former': 2, 'last': 2, '7th': 2, 'extensive': 2, 'commercial': 2, 'present': 2, 'free': 2, 'christian': 2, 'vassal': 2, '20th': 2, 'notable': 2, '15th': 2, 'muslim': 2, 'economic': 2, '19th': 2, 'square': 2, 'northern': 2, 'hot': 2, 'monthly': 2, 'detailed': 2, 'autonomous': 1, 'prefectural': 1, 'cognate': 1, 'unknown': 1, 'older': 1, 'widespread': 1, 'post': 1, 'mongol': 1, 'fertile': 1, 'tocharian': 1, 'least': 1}"
Khair,27.95,77.83,India,IN,Asia,"{'male': 2, 'female': 2, 'municipal': 1, 'biggest': 1, '17th': 1, 'effective': 1}"
Nurmo,62.8278,22.9083,Finland,FI,Europe,"{'former': 1, 'consolidated': 1, 'local': 1, 'early': 1, 'consultative': 1, 'bare': 1, 'independent': 1, 'external': 1, 'municipal': 1}"
Welzheim,48.8747,9.6344,Germany,DE,Europe,"{'big': 2, 'rural': 1, 'agricultural': 1, 'local': 1, 'beautiful': 1, 'natural': 1, 'latin': 1, 'medieval': 1, '800th': 1, 'eastern': 1, 'archeological': 1, 'western': 1, 'new': 1, 'entire': 1, 'small': 1, 'famous': 1, 'communist': 1, 'previous': 1, 'aged': 1, 'incoming': 1, 'religious': 1, 'south': 1, 'free': 1}"
Visbek,52.8366,8.3098,Germany,DE,Europe,"{'official': 3, 'regional': 2, 'municipal': 1, 'north': 1, 'northernmost': 1, 'rural': 1, 'long': 1, 'narrow': 1, 'geest': 1, 'wet': 1, 'late': 1, '8th': 1, 'frankish': 1, 'numerous': 1, 'megalithic': 1, 'regular': 1, 'schützenfest': 1, 'fair': 1, 'annual': 1, 'open': 1, 'local': 1, 'external': 1}"
Kuching,1.53,110.33,Malaysia,MY,Asia,"{'local': 8, 'oldest': 6, 'administrative': 5, 'commercial': 5, 'annual': 5, 'official': 5, 'secondary': 5, 'malay': 4, 'third': 4, 'industrial': 4, 'last': 3, 'ethnic': 3, 'standard': 3, 'old': 3, 'early': 3, 'further': 3, 'racial': 3, 'important': 3, 'urban': 3, 'primary': 3, 'available': 3, 'long': 3, 'populous': 2, 'civilian': 2, '19th': 2, 'small': 2, 'common': 2, 'clean': 2, 'upper': 2, 'few': 2, 'entire': 2, 'only': 2, 'current': 2, 'northern': 2, 'legal': 2, 'estuary': 2, 'wettest': 2, 'rare': 2, 'able': 2, 'different': 2, 'cultural': 2, 'mixed': 2, 'numerous': 2, 'federal': 2, 'rural': 2, 'traditional': 2, 'franchised': 2, 'own': 2, 'former': 2, 'historical': 2}"
Phillaur,31.03,75.78,India,IN,Asia,"{'older': 2, 'higher': 2, 'actual': 2, 'military': 2, 'municipal': 1, 'pre': 1, 'partition': 1, 'further': 1, 'dedicated': 1, 'functional': 1, 'traditional': 1, 'oldest': 1, 'forensic': 1, 'famous': 1, 'male': 1, 'female': 1, 'popular': 1, 'local': 1, 'exact': 1, 'memorial': 1, 'external': 1}"
İsmayıllı,40.7847,48.1514,Azerbaijan,AZ,Asia,"{'local': 4, 'productive': 3, 'late': 1, '4th': 1, 'early': 1, '3rd': 1, 'historical': 1, 'northeastern': 1, 'administrative': 1, 'small': 1, 'political': 1, 'economic': 1, 'involved': 1, 'strong': 1, 'famous': 1, 'broad': 1, 'wide': 1, 'new': 1, 'equal': 1, 'sharab': 1, 'little': 1, 'middle': 1, 'external': 1}"
Pingliang,35.5424,106.6649,China,CN,Asia,"{'humid': 2, 'monthly': 2, 'annual': 2, 'notable': 2, 'traditional': 1, 'inner': 1, 'eastern': 1, 'residential': 1, 'urban': 1, 'nearby': 1, 'sacred': 1, 'mythical': 1, 'proper': 1, 'cold': 1, 'dry': 1, 'warm': 1, 'much': 1, 'mean': 1, 'possible': 1, 'bright': 1, 'external': 1, 'official': 1}"
Belize City,17.4986,-88.1886,Belize,BZ,North America,"{'local': 3, 'tropical': 3, 'former': 2, 'small': 2, 'central': 2, 'natural': 2, 'recent': 2, 'proper': 2, 'southern': 2, 'oldest': 2, 'only': 2, 'dry': 2, 'driest': 2, 'educational': 2, 'notable': 2, 'municipal': 2, 'principal': 1, 'financial': 1, 'industrial': 1, 'new': 1, 'ideal': 1, 'true': 1, 'ethnic': 1, 'various': 1, 'great': 1, 'able': 1, 'susceptible': 1, 'rainy': 1, 'geographic': 1, 'westernmost': 1, 'residential': 1, 'anglican': 1, 'colonial': 1, 'poorest': 1, 'wooden': 1, 'uncommon': 1, 'east': 1, 'better': 1, 'fourth': 1, 'northwest': 1, 'numerous': 1, 'smaller': 1, 'individual': 1, 'warm': 1, 'hot': 1, 'humid': 1, 'lengthy': 1, 'wet': 1, 'unusual': 1, 'monthly': 1}"
Büdingen,50.2908,9.1125,Germany,DE,Europe,"{'old': 3, 'new': 3, 'medieval': 2, 'last': 2, '1st': 2, '3rd': 2, 'fortified': 1, 'half': 1, 'wet': 1, 'swampy': 1, 'vertical': 1, 'independent': 1, 'wooden': 1, 'unknown': 1, 'clear': 1, 'smaller': 1, 'additional': 1, 'unchanged': 1, 'oldest': 1, 'local': 1, 'enormous': 1, 'defensive': 1, 'extant': 1, 'important': 1, 'protestant': 1, 'great': 1, 'imperial': 1, 'latin': 1, 'hereditary': 1, 'religious': 1, 'military': 1, 'partial': 1, 'municipal': 1, 'electric': 1, '4th': 1, '61st': 1, '2nd': 1, '83rd': 1, 'notable': 1, 'theorem': 1, 'tibetan': 1, 'theologian': 1, 'external': 1}"
Jérémie,18.6339,-74.1184,Haiti,HT,North America,"{'haitian': 2, 'medical': 2, 'commune': 1, 'isolated': 1, 'numerous': 1, 'much': 1, 'continental': 1, 'early': 1, 'ancient': 1, 'only': 1, 'mixed': 1, 'jewish': 1, 'nautical': 1, 'weekly': 1, 'notable': 1, 'noted': 1, 'prolific': 1, 'nineteenth': 1, 'transatlantic': 1, 'free': 1, 'colored': 1, 'former': 1, 'military': 1}"
Nueva Guinea,11.6833,-84.45,Nicaragua,NI,North America,"{'few': 3, 'significant': 2, 'early': 2, 'agricultural': 2, 'numerous': 2, 'long': 2, 'local': 2, 'tropical': 2, 'free': 1, 'extensive': 1, 'much': 1, 'non': 1, 'directional': 1, 'safe': 1, 'skilled': 1, 'unimproved': 1, 'wider': 1, 'delightful': 1, 'nicaraguan': 1, 'populated': 1, 'passable': 1, 'dry': 1, 'medium': 1, 'electric': 1, 'basic': 1, 'fresh': 1, 'other-': 1, 'available': 1, 'small': 1, 'longer': 1, 'catholic': 1, 'annual': 1, 'tertiary': 1, 'basaltic': 1, 'volcanic': 1, 'upper': 1, 'red': 1, 'subsequent': 1, 'gravel': 1, 'unique': 1, 'territorial': 1, 'administrative': 1, 'economic': 1, 'quequisque': 1, 'domestic': 1, 'developed': 1, 'unsustainable': 1, 'suitable': 1, 'wet': 1, 'ancient': 1}"
Hinwil,47.3033,8.8444,Switzerland,CH,Europe,"{'old': 3, 'local': 2, 'non': 2, 'popular': 2, 'secondary': 2, 'wettest': 2, 'later': 1, 'alamannic': 1, 'adjoining': 1, 'following': 1, 'roman': 1, '1st': 1, 'medieval': 1, '8th': 1, 'latter': 1, 'only': 1, 'rural': 1, '16th': 1, 'regional': 1, '17th': 1, 'early': 1, 'modern': 1, 'dominant': 1, 'certain': 1, '19th': 1, 'modest': 1, 'important': 1, 'agricultural': 1, 'productive': 1, 'unproductive': 1, 'municipal': 1, 'independent': 1, 'individual': 1, 'foreign': 1, 'last': 1, 'common': 1, 'third': 1, 'next': 1, 'entire': 1, 'mandatory': 1, 'upper': 1, 'additional': 1, 'higher': 1, 'primary': 1, 'economic': 1, 'tertiary': 1, 'full': 1, 'smaller': 1, 'protestant': 1, 'atheist': 1}"
Kurugodu,15.346,76.836,India,IN,Asia,"{'undated': 2, 'incomplete': 2, 'southern': 1, 'holy': 1, 'small': 1, 'various': 1, 'west': 1, 'medieval': 1, 'prominent': 1, 'separate': 1, 'different': 1, 'contemporary': 1, 'larger': 1, 'external': 1}"
Rockhampton,-23.3781,150.5136,Australia,AU,Oceania,"{'local': 53, 'new': 7, 'aboriginal': 7, 'important': 7, 'commercial': 6, 'regional': 5, 'military': 5, 'industrial': 5, 'northern': 4, 'south': 4, 'traditional': 4, 'adjacent': 4, 'economic': 4, 'coastal': 4, 'annual': 4, 'domestic': 4, 'numerous': 4, 'early': 4, 'native': 4, 'available': 4, 'common': 3, 'north': 3, 'only': 3, 'historic': 3, 'significant': 3, 'extensive': 3, 'present': 3, 'short': 3, 'permanent': 3, 'substantial': 3, 'tropical': 3, 'eastern': 3, 'highest': 3, 'joint': 3, 'daily': 3, 'digital': 3, '19th': 2, 'prominent': 2, 'cultural': 2, 'convenient': 2, 'upstream': 2, 'abundant': 2, 'further': 2, 'regular': 2, 'following': 2, 'original': 2, 'separate': 2, 'strong': 2, 'small': 2, 'good': 2}"
Kupiškis,55.8333,24.9667,Lithuania,LT,Europe,"{'jewish': 10, 'historical': 3, 'local': 3, 'small': 3, 'former': 3, 'particular': 3, 'oldest': 2, 'preschool': 2, 'residential': 2, 'middle': 2, 'central': 2, 'soviet': 2, 'christian': 2, 'yiddish': 1, 'northeastern': 1, 'biggest': 1, 'primary': 1, 'technological': 1, '3rd': 1, '2nd': 1, 'very': 1, '8th': 1, 'wooden': 1, 'defensive': 1, 'selonian': 1, 'unchanged': 1, 'earliest': 1, 'royal': 1, 'early': 1, '15th': 1, 'catholic': 1, '18th': 1, 'flax': 1, '19th': 1, 'forbidden': 1, 'secret': 1, 'anti': 1, '–': 1, 'electrical': 1, 'interwar': 1, 'less': 1, 'cooperative': 1, 'musical': 1, 'ethnic': 1, 'makeshift': 1, 'unmarked': 1, '618th': 1, 'personal': 1, 'red': 1, 'memorial': 1}"
Orimattila,60.8042,25.7333,Finland,FI,Europe,"{'square': 2, 'local': 2, '19th': 2, 'southern': 1, 'northern': 1, 'municipal': 1, 'oldest': 1, 'late': 1, 'independent': 1, 'older': 1, 'following': 1, 'past': 1, 'famous': 1, 'triple': 1, 'external': 1, 'official': 1}"
Umm Ruwaba,12.9058,31.2156,Sudan,SD,Africa,"{'local': 3, 'important': 2, 'islamic': 2, 'late': 1, 'able': 1, 'southern': 1, 'central': 1, 'semi': 1, 'arid': 1, 'annual': 1, 'productive': 1, 'fluviatile': 1, 'prone': 1, 'severe': 1, 'principal': 1, 'anti': 1, 'notable': 1}"
Rostov,57.1833,39.4167,Russia,RU,Europe,"{'administrative': 7, 'new': 5, 'modern': 5, 'ancient': 4, 'commercial': 4, 'regional': 4, 'important': 3, 'cultural': 3, 'educational': 3, 'economic': 3, 'early': 3, 'industrial': 3, 'southern': 3, '20th': 3, 'military': 3, 'official': 3, 'artistic': 3, 'effective': 3, 'southwestern': 2, 'logistical': 2, 'metropolitan': 2, 'old': 2, 'northern': 2, 'strategic': 2, 'former': 2, 'central': 2, 'rich': 2, 'municipal': 2, 'humid': 2, 'mayoral': 2, 'local': 2, 'precious': 2, 'federal': 2, 'full': 2, 'representative': 2, 'vocational': 2, 'professional': 2, 'active': 2, 'notable': 2, 'serial': 2, 'городского': 2, 'southeastern': 1, 'indigenous': 1, 'scythian': 1, 'sarmatian': 1, 'historical': 1, 'eighteenth': 1, 'much': 1, '19th': 1, 'further': 1}"
Sujawal,24.6031,68.0792,Pakistan,PK,Asia,"{'famous': 2, 'late': 2, 'سجاول': 1, 'headquarter': 1, 'new': 1, 'agricultural': 1, 'few': 1, 'multi': 1, 'ethnic': 1, 'different': 1, 'moderate': 1, 'cold': 1, 'hot': 1, 'seasonal': 1, 'political': 1, '16th': 1, 'akbari': 1, 'yearly': 1, 'precious': 1}"
Gerāsh,27.6667,54.1411,Iran,IR,Asia,"{'portal': 5, 'historical': 3, 'traditional': 3, 'zoroastrian': 2, 'muslim': 2, 'islamic': 2, 'seasonal': 2, 'common': 2, 'internal': 2, 'equal': 2, 'different': 2, 'northern': 2, 'av': 2, 'big': 2, 'native': 1, '5th': 1, '11th': 1, 'direct': 1, 'certain': 1, 'present': 1, 'dry': 1, 'mountainous': 1, 'immune': 1, 'short': 1, 'younger': 1, 'structural': 1, 'manual': 1, 'confidential': 1, 'similar': 1, 'favorite': 1, 'speak': 1, 'neighboring': 1, 'برق': 1, 'former': 1, 'following': 1, 'new': 1, 'notable': 1, 'very': 1, 'residential': 1, 'fierce': 1, 'influential': 1, 'special': 1, 'modern': 1, 'strangest': 1, 'glorious': 1, 'likely': 1, 'biggest': 1, 'strange': 1, 'llah': 1, 'oral': 1}"
Beckingen,49.3928,6.7008,Germany,DE,Europe,"{'municipal': 2, 'saarlandic': 1, 'territorial': 1, 'administrative': 1, 'old': 1, 'gothic': 1, 'severe': 1, 'oldest': 1, 'elaborate': 1, 'mountainous': 1, 'local': 1, 'nearest': 1, 'small': 1, 'accessible': 1, 'former': 1, 'entire': 1, 'adjacent': 1, 'following': 1, 'external': 1}"
Asbest,57.0,61.4667,Russia,RU,Europe,"{'administrative': 5, 'rural': 3, 'local': 3, 'official': 3, 'municipal': 2, 'urban': 2, 'industrial': 2, 'adjacent': 2, 'областной': 2, 'effective': 2, 'right': 1, 'eastern': 1, 'soviet': 1, 'equal': 1, 'joint': 1, 'scientific': 1, 'detrimental': 1, 'open': 1, 'deep': 1, 'educational': 1, 'professional': 1, 'geological': 1, 'present': 1, 'electrical': 1, 'extensive': 1, 'clean': 1, 'oblast': 1, 'different': 1, 'isbn': 1, 'external': 1}"
Yuscarán,13.9444,-86.8526,Honduras,HN,North America,"{'colonial': 2, 'precious': 1, 'traditional': 1, '18th': 1, 'north': 1, 'wealthy': 1, 'influential': 1, 'biological': 1, 'present': 1}"
Amritsar,31.64,74.86,India,IN,Asia,"{'new': 5, 'official': 4, 'extant': 4, 'holiest': 3, 'annual': 3, 'historical': 3, 'walled': 3, 'economic': 2, 'administrative': 2, 'populous': 2, 'fourth': 2, 'latter': 2, 'semi': 2, 'old': 2, 'historic': 2, 'highest': 2, 'famous': 2, 'local': 2, 'busiest': 2, 'cultural': 1, 'municipal': 1, 'metropolitan': 1, 'daily': 1, 'wooden': 1, 'uneducated': 1, 'rural': 1, 'colloquial': 1, 'numerous': 1, 'nearby': 1, 'ritual': 1, 'holy': 1, 'central': 1, 'hostile': 1, 'earliest': 1, 'residential': 1, 'broad': 1, 'later': 1, 'thirteenth': 1, 'entire': 1, 'sacred': 1, 'considerable': 1, 'social': 1, 'boundary': 1, 'whole': 1, 'political': 1, 'young': 1, 'early': 1, 'popular': 1, 'general': 1, 'excited': 1}"
Staryya Darohi,53.0394,28.265,Belarus,BY,Europe,"{'jewish': 2, 'administrative': 1, 'closed': 1, 'own': 1, 'little': 1, 'mass': 1, 'local': 1, 'short': 1, 'isbn': 1, 'external': 1}"
Liwonde,-15.0667,35.2333,Malawi,MW,Africa,"{'important': 5, 'ethnic': 1, 'civil': 1, 'tropical': 1, 'hot': 1, 'thermal': 1, 'small': 1, 'agricultural': 1, 'sweet': 1, 'regional': 1, 'retail': 1, 'residential': 1, 'available': 1, 'mobile': 1}"
Oued Zenati,36.3167,7.1667,Algeria,DZ,Africa,"{'numidian': 1, 'military': 1, 'present': 1, 'early': 1, 'christian': 1, 'agricultural': 1, 'poor': 1}"
Macetown,-44.865,168.819,New Zealand,NZ,Oceania,"{'small': 2, 'early': 2, 'historic': 1, 'uninhabited': 1, 'unsealed': 1, 'steep': 1, 'sided': 1, 'suitable': 1, 'alluvial': 1, '20th': 1, 'little': 1, 'original': 1, 'old': 1, 'twice': 1, 'weekly': 1, 'lofty': 1, 'youngest': 1, 'only': 1, 'fascinating': 1, 'further': 1, 'archaeological': 1, 'external': 1}"
Taupo,-38.69,176.08,New Zealand,NZ,Oceania,"{'geothermal': 7, 'urban': 5, 'hot': 4, 'local': 4, 'armed': 3, 'early': 3, 'popular': 3, 'volcanic': 3, 'fresh': 3, 'olympic': 3, 'triathlete': 3, 'taupō': 2, 'central': 2, 'natural': 2, 'outdoor': 2, 'eastern': 2, 'late': 2, 'northern': 2, 'southern': 2, 'hydroelectric': 2, 'significant': 2, 'further': 2, 'small': 2, 'primary': 2, 'religious': 2, 'full': 2, 'few': 2, 'recreational': 1, 'longer': 1, 'great': 1, 'official': 1, 'widespread': 1, 'incorrect': 1, 'formal': 1, 'present': 1, 'opposite': 1, 'close': 1, 'civil': 1, 'unsuccessful': 1, 'scientific': 1, 'successful': 1, 'northeastern': 1, 'short': 1, 'suitable': 1, 'new': 1, 'south': 1, 'east': 1, 'busy': 1, 'similar': 1, 'oceanic': 1}"
South Sioux City,42.4627,-96.4125,United States,US,North America,"{'square': 7, 'older': 4, 'female': 3, 'present': 3, 'racial': 2, 'hispanic': 2, 'married': 2, 'male': 2, 'non': 2, 'higher': 2, 'metropolitan': 1, '14th': 1, 'populous': 1, 'special': 1, 'larger': 1, 'flat': 1, 'less': 1, 'white': 1, 'professional': 1, 'unemployed': 1, 'short': 1, 'southern': 1, 'south': 1, 'northern': 1, '9th': 1, 'local': 1, 'nearest': 1, 'commercial': 1, 'smaller': 1, 'general': 1, 'external': 1, 'official': 1, 'brief': 1}"
Moquegua,-17.2,-70.9333,Peru,PE,South America,"{'indigenous': 2, 'colonial': 2, 'southern': 1, 'successive': 1, 'numerous': 1, 'wari': 1, 'monumental': 1, 'important': 1, 'only': 1, 'military': 1, '15th': 1, 'next': 1, 'definite': 1, 'popular': 1, '19th': 1, '18th': 1, 'traditional': 1, 'mojinete': 1, 'beautiful': 1, 'pan': 1, 'external': 1}"
Kauhava,63.1,23.0667,Finland,FI,Europe,"{'square': 2, 'small': 2, '19th': 2, 'popular': 1, 'flat': 1, 'suited': 1, 'traditional': 1, 'different': 1, 'underway': 1, 'ostrobothnian': 1, 'local': 1, 'out': 1, 'interesting': 1, 'late': 1, 'open': 1, 'notable': 1, 'professional': 1, 'external': 1, 'official': 1}"
Trzebnica,51.305,17.0614,Poland,PL,Europe,"{'cistercian': 3, 'regional': 2, 'silesian': 2, 'present': 2, 'abbess': 2, 'lower': 2, 'former': 2, 'central': 1, 'smaller': 1, 'administrative': 1, 'eastern': 1, 'historic': 1, 'metropolitan': 1, 'historical': 1, 'middle': 1, '12th': 1, 'bohemian': 1, 'modern': 1, 'nearby': 1, 'baroque': 1, '17th': 1, 'last': 1, 'communist': 1, 'local': 1, 'ethnic': 1, 'post': 1, 'war': 1, 'notable': 1, 'active': 1, 'twin': 1, 'external': 1, 'jewish': 1}"
Bramhapuri,20.6068,79.8644,India,IN,Asia,"{'female': 2, 'few': 2, 'eponymous': 1, 'northeastern': 1, '73rd': 1, 'higher': 1, 'male': 1, 'numerous': 1, 'roman': 1, 'hot': 1, 'dry': 1, 'rainy': 1, 'humid': 1, 'heavy': 1, 'last': 1, 'top': 1, 'hottest': 1}"
Ajacuba,20.0833,-99.1167,Mexico,MX,North America,"{'municipal': 2, 'central': 1, 'following': 1, 'small': 1, 'highest': 1, 'regional': 1}"
Eidsvoll,60.3167,11.2333,Norway,NO,Europe,"{'old': 2, 'eastern': 2, 'choral': 2, 'ˈæ̀ɪdsvɔɫ': 1, 'traditional': 1, 'administrative': 1, 'general': 1, 'genitive': 1, 'last': 1, 'important': 1, 'romanesque': 1, 'wooden': 1, 'rococo': 1, 'next': 1, 'third': 1, 'late': 1, 'prominent': 1, 'modern': 1, 'early': 1, 'local': 1, '11th': 1, 'northern': 1, 'rich': 1, 'short': 1, 'minor': 1, 'excellent': 1, 'similar': 1, 'constitutional': 1, 'famous': 1, 'historic': 1, 'west': 1, 'east': 1, 'commercial': 1, 'notable': 1, 'genealogist': 1, 'longest': 1, 'female': 1, 'entire': 1, 'military': 1, 'complex': 1, 'multi': 1, 'instrument': 1, 'nordic': 1, 'combined': 1, 'former': 1, 'following': 1, 'external': 1, 'municipal': 1}"
Tábua,40.3667,-8.0333,Portugal,PT,Europe,"{'civil': 4, 'wooden': 2, 'roman': 2, '12th': 2, 'square': 1, 'traditional': 1, 'recent': 1, 'flat': 1, 'geographical': 1, 'votive': 1, 'common': 1, 'aquatic': 1, 'semi': 1, 'terrestrial': 1, 'herbaceous': 1, 'shallow': 1, 'rapid': 1, 'abundant': 1, 'plausible': 1, 'archaeological': 1, 'least': 1, 'ceramic': 1, 'limited': 1, 'early': 1, 'medieval': 1, 'noble': 1, '4th': 1, 'criminal': 1, 'foral': 1, 'royal': 1, 'small': 1, 'singular': 1, 'modern': 1, 'own': 1, '16th': 1, '19th': 1, 'smaller': 1, 'due': 1, 'notorious': 1, 'notable': 1, 'legal': 1, 'academic': 1}"
Swarzędz,52.4083,17.0714,Poland,PL,Europe,"{'local': 5, 'various': 2, 'noble': 2, '19th': 2, 'west': 1, 'central': 1, 'mixed': 1, 'urban': 1, 'rural': 1, 'metropolitan': 1, 'particular': 1, 'pre': 1, 'christian': 1, 'slavic': 1, 'modern': 1, 'advantageous': 1, '15th': 1, 'górka': 1, 'old': 1, '17th': 1, 'prussian': 1, 'important': 1, 'mechanized': 1, 'great': 1, 'late': 1, 'infamous': 1, 'nazi': 1, 'highest': 1, 'open': 1, 'neighbouring': 1, 'wooden': 1, '16th': 1, '18th': 1, 'lower': 1, 'notable': 1, 'general': 1, 'siegfried': 1, 'olympic': 1, 'external': 1, 'official': 1, 'much': 1}"
Pau dos Ferros,-6.1108,-38.2089,Brazil,BR,South America,"{'municipal': 17, 'local': 10, 'significant': 8, 'cultural': 7, 'early': 6, 'elementary': 6, 'latter': 5, 'provincial': 5, 'federal': 5, 'higher': 5, 'political': 4, 'older': 4, 'active': 4, '19th': 3, 'regional': 3, 'late': 3, 'long': 3, 'present': 3, 'small': 3, 'responsible': 3, 'new': 3, 'various': 3, 'civil': 3, 'religious': 3, 'social': 3, 'old': 3, 'arid': 3, 'highest': 3, 'urban': 3, 'traditional': 3, '18th': 2, 'populous': 2, 'historical': 2, 'indigenous': 2, 'strategic': 2, 'severe': 2, 'musical': 2, 'native': 2, 'current': 2, 'key': 2, 'bahian': 2, 'notable': 2, 'available': 2, 'valid': 2, 'direct': 2, 'common': 2, 'medium': 2, '°': 2, 'annual': 2, 'primary': 2}"
Concepción Las Minas,14.5167,-89.45,Guatemala,GT,North America,"{'local': 2, 'dry': 2, 'southern': 1, 'current': 1, 'double': 1, 'colonial': 1, 'municipal': 1, 'highest': 1, 'ephemeral': 1, 'former': 1, 'higher': 1, 'pine': 1, 'mixed': 1, 'only': 1, 'external': 1, 'official': 1}"
Ladyzhyn,48.6667,29.25,Ukraine,UA,Europe,"{'soviet': 4, 'early': 2, 'nearby': 2, 'economic': 2, 'jewish': 2, 'modern': 2, 'gold': 1, '3rd': 1, 'roman': 1, '10th': 1, 'great': 1, 'nomadic': 1, '13th': 1, '14th': 1, 'grand': 1, 'ruthenian': 1, '16th': 1, 'wooden': 1, 'kind': 1, 'eighteenth': 1, 'military': 1, '19th': 1, 'multiple': 1, 'parochial': 1, 'ministerial': 1, 'various': 1, 'civil': 1, 'administrative': 1, 'next': 1, '2nd': 1, 'collective': 1, 'concrete': 1, 'post': 1, 'regional': 1, 'significant': 1, 'agricultural': 1, 'sufficient': 1, 'mass': 1, 'oblast': 1, 'regular': 1, 'byzantine': 1, 'catholic': 1, 'minor': 1, 'notable': 1, 'external': 1}"
Cesário Lange,-23.2267,-47.9531,Brazil,BR,South America,"{'religious': 2, 'statistical': 1, 'square': 1, 'political': 1, 'vicinal': 1, 'economic': 1, 'thoroughbred': 1}"
